stage,host,kind,training_seed,condition,env_seed,policy_seed,success,policy_steps,reason,source_summary
additional,H1,depth_stacking,0,none,910010,1010010,True,482,dwell_complete,withheld-source-e6f7d12adb7ff1c5b3da
additional,H1,depth_stacking,0,top,910008,1010008,True,535,dwell_complete,withheld-source-31a79607037b74230fb7
additional,H1,depth_stacking,0,top,910009,1010009,False,2000,max_steps,withheld-source-31a79607037b74230fb7
additional,H1,depth_stacking,0,top,910010,1010010,False,2000,max_steps,withheld-source-31a79607037b74230fb7
additional,H1,depth_stacking,0,head,910008,1010008,True,414,dwell_complete,withheld-source-dc86b97e9b3cb3971eb7
additional,H1,depth_stacking,0,head,910009,1010009,True,479,dwell_complete,withheld-source-dc86b97e9b3cb3971eb7
additional,H1,depth_stacking,0,head,910010,1010010,True,476,dwell_complete,withheld-source-dc86b97e9b3cb3971eb7
additional,H1,gated_fusion,0,none,910008,1010008,True,539,dwell_complete,withheld-source-8958a526ee0df0f5025f
additional,H1,gated_fusion,0,none,910009,1010009,True,426,dwell_complete,withheld-source-8958a526ee0df0f5025f
additional,H1,gated_fusion,0,none,910010,1010010,True,598,dwell_complete,withheld-source-8958a526ee0df0f5025f
additional,H1,gated_fusion,0,top,910008,1010008,True,424,dwell_complete,withheld-source-7316fb3f01010903c988
additional,H1,gated_fusion,0,top,910009,1010009,False,2000,max_steps,withheld-source-7316fb3f01010903c988
additional,H1,gated_fusion,0,top,910010,1010010,False,2000,max_steps,withheld-source-7316fb3f01010903c988
additional,H1,gated_fusion,0,head,910008,1010008,True,1359,dwell_complete,withheld-source-4db9be2e6337f57ccf7a
additional,H1,gated_fusion,0,head,910009,1010009,True,722,dwell_complete,withheld-source-4db9be2e6337f57ccf7a
additional,H1,gated_fusion,0,head,910010,1010010,True,1175,dwell_complete,withheld-source-4db9be2e6337f57ccf7a
additional,H1,gt,0,none,910008,1010008,True,531,dwell_complete,withheld-source-14ca011584d8e8928ed3
additional,H1,gt,0,none,910009,1010009,True,393,dwell_complete,withheld-source-14ca011584d8e8928ed3
