tag,group,kind,success,joint_index,joint_name,per_joint_signed_work_j,per_joint_positive_work_j,per_joint_absolute_work_j,per_joint_peak_absolute_power_w,per_joint_peak_absolute_torque_nm,per_joint_peak_absolute_velocity_rad_s,per_joint_min_limit_margin_rad
record-762cb3a7bbdf8612,corrected,rgb,False,4,wrist_angle,70.63714059123463,72.45346189760018,74.26978320396968,24.891150813015585,56.06493660900264,0.47675213681148504,0.2276772465474055
record-ea7d994da44cebd1,corrected,rgb,False,0,waist,238.84905958305347,241.70253789520302,244.55601620735234,12.010393278007088,69.03619219418687,0.18907326005678424,22.092558991492503
record-ea7d994da44cebd1,corrected,rgb,False,1,shoulder,85.8613576513403,88.5127723381388,91.16418702493726,57.26197079872263,217.74009957426279,0.3042922474978127,0.5550284150662899
record-ea7d994da44cebd1,corrected,rgb,False,2,elbow,402.1007285629176,409.0666782219517,416.0326278809873,504.7568810198534,770.5775473780232,0.7571896718367771,0.3209942951745943
record-ea7d994da44cebd1,corrected,rgb,False,3,forearm_roll,0.5968576426644652,0.7563410562124733,0.9158244697604858,0.29146007166836874,10.287598933983645,0.03124604274273081,2.762237557638116
record-ea7d994da44cebd1,corrected,rgb,False,4,wrist_angle,75.68868062188712,77.06217338837243,78.43566615485788,25.356209097108394,54.97706114901143,0.48996326566743703,0.0014606798523897346
record-86d667355fbc8ddf,corrected,rgb,False,0,waist,364.7549480152005,369.95186495439543,375.1487818935887,12.566980374622643,70.01620883870768,0.193387105021004,16.296345889937555
record-86d667355fbc8ddf,corrected,rgb,False,1,shoulder,178.6683630269177,183.32821006507166,187.9880571032256,358.3684269233493,695.2191122395325,0.6794053751713509,0.36740795916529656
record-86d667355fbc8ddf,corrected,rgb,False,2,elbow,770.825506341725,779.7122350613727,788.5989637810195,2223.423859099295,1873.308164936534,1.6400718650633213,0.05462131084007393
record-86d667355fbc8ddf,corrected,rgb,False,3,forearm_roll,1.237917079425591,1.4963281847544279,1.7547392900832788,0.44514635614052656,13.13632279271178,0.038490920437420924,2.7569748092872417
record-86d667355fbc8ddf,corrected,rgb,False,4,wrist_angle,70.84746994330486,73.46414890474998,76.08082786619796,42.557437960833994,68.64970080483454,0.8471662881039362,0.0018545676737571348
record-d4203a7413cfb6e5,corrected,rgb,False,0,waist,111.77439197487206,116.18072535671843,120.58705873856479,11.047237305221003,69.20669223953468,0.18183125948566137,27.836193253387616
record-d4203a7413cfb6e5,corrected,rgb,False,1,shoulder,122.04491026169133,126.59313041948279,131.1413505772734,272.240418479487,608.8961627597091,0.5876597424559772,0.42505373581054473
record-d4203a7413cfb6e5,corrected,rgb,False,2,elbow,616.5084122843037,630.7803411898799,645.0522700954618,1667.247818162076,1623.2698851226924,1.4182878399306467,0.1770349986920492
record-d4203a7413cfb6e5,corrected,rgb,False,3,forearm_roll,0.2208025371379967,0.44372752884004707,0.6666525205420981,0.12597136130758813,7.38057493375004,0.019492082846777694,2.7467917269607884
record-d4203a7413cfb6e5,corrected,rgb,False,4,wrist_angle,85.14913484371097,86.89110150505249,88.63306816639401,31.993175647525888,59.346007149869365,0.7386471684759898,0.06288149924700326
record-146c5571357dca3e,legacy,depth,True,0,waist,100.1965546830299,100.83663885237887,101.47672302172784,12.130412560294179,69.75586928120589,0.1895921293753861,28.20092789243749
record-146c5571357dca3e,legacy,depth,True,1,shoulder,49.973484950582794,51.1141529013505,52.2548208521182,21.15479768752427,156.80041638201055,0.17297531176108694,0.9180713194857795
record-146c5571357dca3e,legacy,depth,True,2,elbow,204.48348905594557,206.80976221011528,209.1360353642851,89.25874519656288,357.7252199329978,0.29575524540406883,1.0008377813979368
record-146c5571357dca3e,legacy,depth,True,3,forearm_roll,0.005220171258096734,0.006474282992555339,0.007728394727013942,0.00492826071278344,1.9157521376913174,0.004209520797572428,3.1293394277497337
